"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"11659","ko","국립현대미술관 서울관","https://korean.visitseoul.net/attractions/국립현대미술관-서울관/KOP011658?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011658","110-200 서울 종로구 소격동 165 165","03062 서울 종로구 삼청로 30 (소격동) ","02-3701-9500","","http://www.mmca.go.kr/","월요일, 화요일, 목요일, 금요일, 일요일 : 10:00 ~ 18:00 수요일, 토요일 : 10:00 ~ 21:00 (18:00 ~ 21:00 야간개장) * 발권시간 : 관람종료 1시간 전까지 가능","월요일~일요일","1월1일, 설날, 추석","지하철 3호선 안국역 1번 출구,  764m","복합문화예술센터,광화문,국립현대미술관,현대미술,안국역,소격동, 전시,삼청동,미술관,문화의거리","장애인화장실,장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"16792","ko","국립현대미술관 서울관 갤러리아트존","https://korean.visitseoul.net/attractions/국립현대미술관-서울관-갤러리아트존/KOP016792?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP016792","110-200 서울 종로구 소격동 165 국립현대미술관 ","03062 서울 종로구 삼청로 30 (소격동) 국립현대미술관 ","02-3701-9870","","http://www.mmca.go.kr/","화요일, 목요일, 금요일, 일요일 : 오전 10시 ~ 오후 6시 금요일, 토요일 : 오전 10시 ~ 오후 9시 (야간개장 오후 6시~ 9시 무료관람)","월요일 ~ 일요일","-월요일  -1월1일 -설날, 추석","지하철 3호선 안국역 1번 출구,  764m"," 갤러리, 현대자동차,광화문,미술관,아트콜라보레이션,아트, 예술,안국역, 전시, 국립현대미술관, 갤러리아트존,소격동",""
"3241","ko","국제갤러리","https://korean.visitseoul.net/attractions/국제갤러리/KOP003241?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003241","100-200 서울시 종로구 소격동 48 ","03053 서울특별시 종로구 삼청로 54  (소격동) ","02-735-8449","","https://www.kukjegallery.com/","월요일~토요일 10:00~18:00 일요일?공휴일 10:00~17:00","월요일~일요일","","지하철  3호선 안국역 1번 출구,  812m","전시,광화문, 작가발굴, 국제갤러리, 광화문역, 더레스토랑,문화, 현대미술, 미술관,경복궁역, 안국역, 갤러리",""
"5765","ko","국회의사당","https://korean.visitseoul.net/attractions/국회의사당/KOP005763?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005763","150-701 서울시 영등포구 여의도동 1 ","07233 서울특별시 영등포구 의사당대로 1  (여의도동) ","02-6788-2114","","http://www.assembly.go.kr","평일 10:00 ~ 17:00 (10시, 11시, 14시, 15시, 16시, 17시 총 6회 입장가능 *1회 최대 150명) 토요일 10:00 ~ 12:00 (10시, 11시, 12시 총 3회 입장가능 *1회 최대 150명) ","월요일 ~ 토요일","일요일, 공휴일, 근로자의 날(5.1), 국회개원기념일(5.31)","지하철 9호선 국회의사당역 1번 출구,  438m"," 국회의사당역, 국회의사당, 민주주의,역사,의원회관, 여의도,국회참관, 국회도서관,국회,인권","장애인화장실,장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"24613","ko","그라운드서울","https://korean.visitseoul.net/attractions/2024-groundseoul/KOP024613?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024613","110-170 서울 종로구 견지동 85-24 ","03145 서울 종로구 인사동9길 26 ","0507-1303-5760","","http://www.groundseoul.com/","11:00~18:00","전시별 상이","전시별 상이","지하철 1호선 종각역 3-1번 출구,  301m","전시,미술관,갤러리,인사동,광화문,화랑",""
"27105","ko","근현대사기념관","https://korean.visitseoul.net/attractions/근현대사기념관/KOP027105?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027105"," 서울 강북구 수유동 산 73-23 ","01013 서울 강북구 4.19로 114 (수유동) 근현대사기념관","02-903-7580","","http://www.mhmh.or.kr/","09:00~18:00 (마감 30분 전까지 입장)","","-월요일 (월요일이 공휴일인 경우 개관하고, 다음 평일에 휴관) -1월 1일 -설날, 추석 연휴 -강북구청이 지정한 날","지하철 4호선 수유역 4번 출구,  (마을) 강북 01번 승차 ? 신성빌라 정류장 하차 ","초대길,순국선열,강북구, 민주주의,독립운동,수유역, 근현대사기념관",""
"3100","ko","금호미술관","https://korean.visitseoul.net/attractions/금호미술관/KOP003100?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003100","110-190 서울 종로구 사간동 78 78","03062 서울 종로구 삼청로 18 (사간동, 금호미술관) ","02-720-5114","","http://www.kumhomuseum.com","10:00 ~ 18:00 (17:30 입장 제한) ","화요일~일요일","월요일","지하철 3호선 안국역 1번 출구,  620m","경복궁역,미술관,금호미술관, 광화문역, 예술, 안국역, 광화문,전시, 문화, 경복궁, 금호갤러리콘서트,금호아카데미",""
"3256","ko","길상사","https://korean.visitseoul.net/attractions/길상사/KOP003255?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003255","136-022 서울 성북구 성북동 321-3 ","02839 서울특별시 성북구 선잠로5길 68 (성북동)   ","02-3672-5945","","http://www.kilsangsa.info/home/default_in.asp","대중법회 및 연중기도 일정에 따라 이용 시간에 차이가 있음","연중무휴","","지하철 4호선 한성대입구역 6번 출구,  성북02번 버스환승 후 길상사 하차","서울사찰,길상사,서울벚꽃, 템플스테이,절,수련,침묵의집,성북동,한성대입구역,법정스님,종교","장애인화장실"
"2066","ko","김종영 미술관","https://korean.visitseoul.net/attractions/コンラッド·スパ/KOP002066?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002066","110-848 서울 종로구 평창동 114-8","03004 서울특별시 종로구 평창32길 30  (평창동) ","02-3217-6484","","http://www.kimchongyung.com","3월 - 10월 10:00~18:00  12월 - 2월 10:00~17:00   카페 사미루 운영시간 11:00-21:00 (매주 월요일 휴무)","화요일~일요일","월요일","지하철 3호선 경복궁역 3번 출구, 1711버스 탑승 후 롯데아파트 하차,  365m"," 갤러리,김종영미술관, 경복궁역, 광화문역, 평창동, 문화, 길음역, 미술관,전시,김종영,현대조각",""
"42446","ko","김중업 건축문화의집","https://korean.visitseoul.net/attractions/김중업-건축문화의집/KOP042446?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP042446"," 서울 성북구 장위동 230-49 ","02755 서울 성북구 장위로21나길 11 (장위동) ","02-6906-3136","","","화요일 ~ 토요일 10:00 ~ 17:00","","매주 일요일, 월요일 휴관","지하철 6호선 돌곶이역 2번 출구,  1.5km","정원,서울미래유산,김중업-건축문화의집,성북문화재단,전시,도시재생",""
"16319","ko","광화문광장 야경","https://korean.visitseoul.net/attractions/광화문광장의-밤/KOP016319?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP016319"," 서울 종로구 세종로 1-68 ","03154 서울 종로구 세종대로 지하 172  ","02-120","","http://plaza.seoul.go.kr/gwanghwamun","도심 열린 광장으로 연중 24시간 상시 개방","월~일","연중무휴","지하철 5호선 광화문역 2번 출구,  235m"," 광장,야경, 세종대왕, 문화,역사,광화문광장,광화문, 청계천,이순신",""
"6614","ko","나폴레옹과자점","https://korean.visitseoul.net/attractions/나폴레옹/KOP006613?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP006613"," 서울 성북구 성북동1가 35-5 ","02880 서울 성북구 성북로 7 ","02-742-7421","","napoleonbakery.co.kr","09:00~21:00","매일","없음","지하철 4호선 한성대입구역 5번 출구,  40m "," 케이크, 대학로,빵, 제과점,오래가게, 서울미래유산, 성북동,서울3대빵집",""
"26190","ko","낙원떡집","https://korean.visitseoul.net/attractions/낙원떡집/KOP026190?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP026190"," 서울 종로구 낙원동 9 ","03132 서울 종로구 삼일대로 438 (낙원동) ","02-732-5579","","","08:00~21:00","매일","없음","지하철 1/3/5호선 종로3가역 5번 출구,  202m","쑥떡,종로3가,두텁떡,호박설기,오색경단,쑥인절미,떡집,오래가게,서울미래유산",""
"27219","ko","남대문시장 관광안내소","https://korean.visitseoul.net/attractions/남대문시장-관광안내소/KOP027219?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027219","100-804 서울 중구 남창동 64-18 ","04528 서울 중구 남대문로4가 20-9 앞 도보 ","+82-2-752-1913","","http://www.sta.or.kr","10:00~19:00 (KST)","","","지하철 4호선 회현역 5번 출구,  80m","남대문,남대문시장,안내소,여행,안내,남대문시장-관광안내소,관광안내소",""
"36","ko","남산서울타워 ","https://korean.visitseoul.net/attractions/남산서울타워/KOP000036?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000036","140-022 서울 용산구 용산동2가 산 1-3 ","04340 서울 용산구 남산공원길 105 (용산동2가, YTN서울타워) ","02-3455-9277","","http://www.seoultower.co.kr/","평일 10:00-22:30,  주말 10:00~23:00 * 마감시간 30분 전까지 입장 가능 * 레스토랑 운영시간은 매장마다 상이하므로 홈페이지 참고","매일","연중무휴","지하처 3/ 4호선 충무로역 2번출구,   01번(남산순환) 탑승, '남산서울타워' 정류장 하차,  357m 지하철  3호선 동대입구역  6번출구,  01번(남산순환) 탑승, '남산서울타워' 정류장 하차,  357m   ","전망,서울야경,서울데이트,남산타워전망대,야경,서울야경명소,남산타워,전망대,서울데이트장소,N서울타워,남산서울타워,명동,남산,케이블카","장애인화장실,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"35015","ko","남산케이블카","https://korean.visitseoul.net/attractions/남산케이블카/KOP035015?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP035015"," 서울 중구 회현동1가 산 1-19 ","04630 서울 중구 소파로 83 (회현동1가, 남산케이블카) ","02-753-2403","","http://www.cablecar.co.kr/","10:00 ~ 23:00","매일 ","","지하철 4호선 명동역 4번 출구,  571m","남산전망대,서울,야경,N서울타워,서울구경,서울투어,남산타워,남산케이블카,서울야경,서울구경,서울여행,남산타워전망대,가족나들이,남산","장애인화장실,장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"50532","ko","넷마블게임박물관","https://korean.visitseoul.net/attractions/netmarble-game-museum/KOP6eo011?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP6eo011"," 서울 구로구 구로동 832 ","08393 서울 구로구 디지털로26길 38 3층 ","1566-6744","","https://netmarblegamemuseum.org/ko","10:00-18:00","","매주 월요일","지하철 2호선 구로디지털단지역 2번출구, 847m","넷마블게임박물관,넷마블,체험형박물관,서울박물관,게임전시,게임박물관",""
"48454","ko","녹사평 육교","https://korean.visitseoul.net/attractions/noksapyeongoverpass/KOPuqpj4a?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPuqpj4a"," 서울 용산구 용산동4가 4 ","04353 서울 용산구 녹사평대로 지하 195 (용산동4가, 6호선 녹사평역) ","","","","","","","지하철 6호선 녹사평역 3번 출구,  56m","녹사평역사진스팟,이태원클라쓰,드라마촬영지",""
"5134","ko","국립어린이민속박물관","https://korean.visitseoul.net/attractions/국립어린이민속박물관/KOP005130?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005130","110-820 서울 종로구 세종로 1-1 ","03045 서울 종로구 삼청로 37 (세종로, 국립민속박물관) ","02-3704-3014","","https://www.nfm.go.kr/kids"," 09:30 ~ 17:00","월~일","-1월 1일 -설, 추석","지하철 3호선 안국역 1번 출구, 884m","어린이박물관,역사, 국립민속박물관, 추억의거리, 전통문화, 광화문, 안국역, 국립어린이민속박물관,밥상지교,박물관",""
"43452","ko","다락","https://korean.visitseoul.net/attractions/2023--028/KOPyubahz?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPyubahz"," 서울 마포구 도화동 340 ","04172 서울 마포구 도화2길 8 (도화동, 에어몰 빌딩) ","02-706-0519","","","09:30~22:00","매일","매달 1, 3번째 일요일 정기휴무","지하철 5호선 마포역 3번 출구,  297m","분식,공덕,마포떡볶이골목,볶음밥,즉석떡볶이,오래가게",""
"5018","ko","대각사","https://korean.visitseoul.net/attractions/대각사-kr/KOP005015?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005015","110-390 서울 종로구 봉익동 2 ","03134 서울 종로구 율곡로10길 87 (대각사) ","02-744-4502","","http://daegaksa.kr/ ","일출 시 ~ 일몰 시","월요일 ~ 일요일","연중무휴","지하철 1/3/5호선 종로3가역 8번 출구,  139m","종로 3가역, 사찰, 종교, 대각사,창덕궁,서울사찰,절, 용성스님,  불교, 대각회, 종로사찰",""
"2030","ko","대한성공회서울주교좌성당(서울성공회성당)","https://korean.visitseoul.net/attractions/대한성공회서울주교좌성당서울성공회성당/KOP002030?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002030"," 서울 중구 정동 3 ","04519 서울특별시 중구 세종대로21길 15 (정동) ","02-730-6611","","http://www.cathedral.or.kr","평일 11:00 ~16:00 통화가능시간: 화요일 ~ 일요일 (09:00 ~ 18:00)","월요일 ~ 토요일","일요일에는 예배만 가능","지하철 1 / 2호선 시청역 3번 출구,  195m","천주교,서울주교좌성당,시청역,대한성공회, 덕수궁돌담길,광화문, 광화문역",""
"1789","ko","도산공원","https://korean.visitseoul.net/attractions/도산공원/KOP001789?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001789","135-896 서울 강남구 신사동 649-9 ","06020 서울 강남구 도산대로45길 20 (도산전시관) ","","","","24시간 개방 * 도산 안창호 기념관 매일 10:00 ~ 18:00","월요일 ~ 일요일 ","도산 안창호 기념관 1월 1일, 명절 연휴 휴무 ","지하철 3호선 압구정역 3번 출구, 882m"," 도산안창호,강남, 압구정역, 전시,도산공원,안창호,공원,기념관","장애인화장실,접근가능"
"23759","ko","돈의문 터(옛 서대문)","https://korean.visitseoul.net/attractions/돈의문-터옛-서대문/KOP023759?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023759","  ","03178 서울 종로구 신문로2가 170 ","","","","24시간","","연중무휴","지하철 5호선 서대문역 4번 출구,  262m","한양도성순성길,서전문,서대문역,서대문,돈의문박물관마을,문화유산,성곽길,돈의문,도성,국내여행,서울가볼만한곳,광화문,사대문,새문",""
"29381","ko","돈의문역사관","https://korean.visitseoul.net/attractions/돈의문전시관/KOP029381?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029381","110-062 서울 종로구 신문로2가 170 ","03178 서울 종로구 새문안로 35-54 (신문로2가) ","02-724-0271","","https://museum.seoul.go.kr/www/intro/annexIntro/annex_donuimoon/annex_donuimoon_01.jsp?sso=ok","09:00 ~ 18:00 (입장마감 17:30)","화요일~일요일"," 25년 9월부터 26년4월 30일까지 휴관","지하철 5호선 서대문역 4번 출구,  400m ","경희궁, 유적,한정, 돈의문역사관,돈의문, 아지오, 돈의문박물관마을, 사진갤러리, 서대문역,역사, 새문안로,문화공간",""
"46889","ko","광성유통","https://korean.visitseoul.net/attractions/GwangseongUtong/KOPhs5npl?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPhs5npl"," 서울 동대문구 제기동 996 1층 광성유통","02571 서울 동대문구 고산자로36길 30 (제기동) 1층 광성유통","0507-1305-4581","","","매일 06:00~20:00","","","지하철 1호선/경의중앙선/경춘선/수인분당선  청량리역 6번 출구,  374m","청량리,온라인쇼핑,오래가게,견과류",""
"50797","ko","굴다리식당 ","https://korean.visitseoul.net/attractions/Guldari/KOPvroqkg?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPvroqkg"," 서울 마포구 도화동 181-45 ","04168 서울 마포구 새창로 8-1 (도화동) ","02-715-1234","","","9:00~22:00","매일","","지하철 5호선 공덕역 8번 출구, 316m","제육볶음,노포,굴다리,마포,공덕,오래가게,김치찌개,계란말이",""
"27472","ko","돌 레코드","https://korean.visitseoul.net/attractions/돌-레코드/KOP027472?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027472"," 서울 중구 황학동 41 ","04571 서울 중구 마장로9길 49-29 ","02-2235-7130","","","10:00~21:00","매일","없음","지하철 1/6호선 동묘?역 5번 출구,  400m"," 레코드, CD, 테이프, 중고, LP판, LD판,오래가게",""
"24679","ko","동대문디자인플라자 (DDP)","https://korean.visitseoul.net/attractions/Dongdaemun-Design-Plaza-kr/KOP024679?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024679","100-197 서울 중구 을지로7가 2-1 ","04566 서울 중구 을지로 281 (을지로7가, 디자인장터) ","02-2153-0000","","https://ddp.or.kr/","10:00 ~ 20:00 (공간별 운영시간 상이, 홈페이지 참조)","매일","","지하철2/4/5호선 동대문역사문화공원역 1번 출구,  37m","서울볼거리,동대문디자인플라자,서울명소,서울복합문화공간,서울데이트코스,서울DDP,서울놀거리,서울동대문역사문화공원역,DDP","장애인 전용 주차장,접근가능,장애인 안내(휠체어 대여 및 기타),엘리베이터,장애인화장실"
"26206","ko","동대문역사관 상설전시실 재개관","https://korean.visitseoul.net/attractions/동대문역사관/KOP026206?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP026206","100-197 서울 중구 을지로7가 2-1 ","04566 서울 중구 을지로 281 (을지로7가, 2-1) 동대문역사공원 내 동대문역사관","+82-2-2153-0200","","https://www.ddp.or.kr/?menuno=303","10:00~18:00","행사기간 담당자 문의","월요일","지하철 2/4/5호선  동대문역사문화공원역 1번 출구,  356m","유물,동대문,동대문역사관,동대문역사문화공원,박물관,서울역사박물관,상설전시실,전시,전시회",""
"49246","ko","동대문역사문화공원역 물품보관소","https://korean.visitseoul.net/attractions/LuggageStorage8/KOPzawceg?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPzawceg"," 서울 중구 을지로7가 112-3 ","04566 서울 중구 을지로 지하 279 (을지로7가, 동대문역사문화공원역 2호선) ","","","","","","","","동대문역사문화공원역 물품보관소",""
"2039","ko","떡박물관","https://korean.visitseoul.net/attractions/떡박물관/KOP002037?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002037","110-360 서울 종로구 와룡동 164-2 ","03132 서울 종로구 돈화문로 71 (와룡동, 떡박물관) ","02-741-5447","","http://www.tkmuseum.or.kr","월~토요일(10:00~18:00) (17시 30분까지 입장완료) ","","-일요일 -설, 추석 당일","지하철 1/ 3/ 5호선 종로3가역 7번 출구,  286m "," 종로3가역, 전통식문화체험, 전통음식, 박물관, 체험관,떡만들기체험, 떡박물관, 전통, 한국전통음식연구소, 전통체험, 떡카페",""
"11702","ko","라칸티나 ","https://korean.visitseoul.net/attractions/라칸티나/KOP011702?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011702","100-842 서울 중구 을지로1가 50 삼성빌딩 지하 1층","04523 서울 중구 을지로 19 (을지로1가, 삼성빌딩) 삼성빌딩 지하 1층","02-777-2579","","","월~토 11:30 ~ 15:00 / 17:00 ~ 22:00 공휴일 17:00 ~ 22:00","","매주 일요일","지하철 2호선 을지로입구역 1-1번 출구,  100m","이탈리안레스토랑,을지로음식점,을지로입구역, 을지로맛집, 파스타맛집, 시청맛집, 시청음식점, 스파게티,라칸티나",""
"5815","ko","롯데월드 민속박물관","https://korean.visitseoul.net/attractions/롯데월드-민속박물관/KOP005815?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005815","138-721 서울 송파구 잠실동 40-1 서울 송파구 잠실동 40-1","05554 서울 송파구 올림픽로 240 (잠실동, 롯데월드) ","1661-2000","","http://www.lotteworld.com/museum/","평일 11:00 - 19:00(입장 및 매표 마감시간 18:30) 주말 11:00 - 20:00(입장 및 매표 마감시간 19:00)","월요일 ~ 일요일","","지하철 2 / 8호선 잠실역 2번출구, 144m","박물관, 전시, 궁중의례, 전통공예품,잠실, 민속식당가,전통,롯데월드민속박물관, 전통음식, 잠실역,어린이박물관","장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타),장애인화장실"
"47055","ko","경복궁 돌담길 ","https://korean.visitseoul.net/attractions/2024-gbgstonewall/KOPldz98j?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPldz98j"," 서울 종로구 세종로 1-1 ","03045 서울 종로구 사직로 161 (세종로, 경복궁) ","","","","","","","지하철 3호선 경복궁역 4번 출구,  430m ","종로,경복궁돌담길,광화문,돌담길,북촌,서촌,청와대,경복궁",""
"42288","ko","그래픽","https://korean.visitseoul.net/attractions/그래픽/KOP042288?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP042288"," 서울 용산구 이태원동 258-166 ","04344 서울 용산구 회나무로39길 33 (이태원동) ","070-4070-0204","","https://www.instagram.com/graphic.fan/","화요일 ~ 금요일 13:00~23:00 토요일, 일요일 11:00~23:00  ","","매주 월요일 휴무","지하철 6호선 이태원역 2번 출구,  1.2km","북카페,만화카페,서점,이태원,그래픽,어른전용서점,해방촌",""
"21278","ko","롯데월드타워","https://korean.visitseoul.net/attractions/롯데월드타워/KOP021278?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP021278","138-240 서울 송파구 신천동 29 ","05551 서울 송파구 올림픽로 300 (신천동) ","02-3213-5000","","http://www.lwt.co.kr/","매일 09:00 - 20:30 롯데면세점, 연중 무휴 매일 10:00 - 23:00 롯데마트, 격주 일요일 휴무 매일 10:00 - 20:00 롯데아쿠아리움, 연중 무휴 매일 10:30 - 20:00 에비뉴엘, 월 1회 정기 휴무 매일 10:30 - 22:00 쇼핑몰, 연중 무휴  서울스카이 평일 10:30 - 22:00 (월~목요일, 일요일) 주말 10:30 - 23:00 (금, 토, 공휴일 前일) ※시설별 상이 (홈페이지 참조)","월~일","연중무휴 ","지하철 2/8호선 잠실역 2번 출구,  29m ","백화점,아쿠아리움, 면세점,서울스카이,전망대,롯데월드타워,잠실, 롯데월드","장애인화장실,장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"1232","ko","리움 미술관 ","https://korean.visitseoul.net/attractions/삼성미술관-리움/KOP001232?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001232","140-893 서울 용산구 한남동 742-1 ","04348 서울 용산구 이태원로55길 60-16 (한남동) ","02-2014-6900","","https://www.leeumhoam.org/ ","10:00 ~ 18:00 (매표마감 17:30)","화요일 ~ 일요일","-월요일 -1월 1일 -설 연휴 -추석 연휴","지하철  6호선 한강진역 1번 출구,  399m","한남동,한강진역,삼성미술관리움,한남동미술관,이태원,미술관,문화,예술체험,삼성리움,리움미술관,갤러리","장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타),장애인화장실"
"46875","ko","마복림 할머니집","https://korean.visitseoul.net/attractions/MabongnimHalmeonijip/KOP8wjib6?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP8wjib6"," 서울 중구 신당동 292-112 ","04611 서울 중구 다산로35길 5 (신당동) ","02-2232-8930","","","09:00~22:50 ","매일","매달 2?4번째 월요일 휴무","지하철 2/ 6호선 신당역 7번 출구,  232m","오래가게,떡볶이,분식점,신당",""
"27190","ko","마포관광정보센터","https://korean.visitseoul.net/attractions/마포관광정보센터/KOP027190?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027190"," 서울 마포구 서교동 348-78 ","04055 서울 마포구 홍익로 22 (서교동) ","+82-2-334-7878","","https://www.instagram.com/seoul_hongdae_tour/","10:00 ~ 19:00","","","지하철 2호선/공항철도/경의중앙선  홍대입구역 9번 출구,  260m","서울관광정보센터,마포관광정보센터,홍대관광,홍대입구역,마포,마포구관광,홍대",""
"7162","ko","마포옥","https://korean.visitseoul.net/attractions/마포옥1/KOP007160?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP007160"," 서울특별시 마포구 용강동 50-13","04165 서울특별시 마포구 토정로 312 (용강동) ","02-716-6661","","","평일 07:00 ~ 21:00 주말 07:00 ~ 17:00","월요일~일요일 ","연중무휴","지하철 5호선 마포역 1번 출구,  263m","마포옥,마포,설렁탕음식점,차돌탕,한강,마포음식점,설렁탕,수요미식회",""
"11839","ko","김포공항관광정보센터","https://korean.visitseoul.net/attractions/김포공항관광정보센터/KOP011835?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011835","157-220 서울 강서구 방화동 886 ","07505 서울 강서구 하늘길 38 (방화동, 김포공항(국제청사)) ","02-2660-2486~7","","","10:00 ~ 19:00","월요일~일요일 ","연중무휴","공항철도: 김포공항 국제선, 9호선: 김포공항 국제선, 김포골드라인:김포공항 국제선,  서해선: 김포공항 국제선, 5호선: 김포공항 국제선 (지하철 이용 시 방향에 따라 국제선과 국내선으로 이동가능)","관광안내소,서울관광정보센터,김포공항,관광정보,서울안내,김포공항관광정보센터,안내소",""
"49361","ko","놓다 물품보관소","https://korean.visitseoul.net/attractions/LuggageStorage28/KOP1yptkn?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP1yptkn"," 서울 종로구 돈의동 39-2 ","03139 서울 종로구 돈화문로11길 29 (돈의동, 낙원오피스텔) ","","","","","","","","놓다 물품보관소",""
"43432","ko","만나당","https://korean.visitseoul.net/attractions/2023001/KOPv423hd?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPv423hd","06029 서울 강남구 신사동 550-9 1층 101호 만나당","06029 서울 강남구 논현로175길 61 (신사동) 1층 101호 만나당","0507-1327-3312","","","월요일-토요일 10:00-18:00","","일요일","지하철3호선 압구정역 5번 출구,  498m "," 가로수길, 압구정,수제, 궁중약과, 강남, 약과,오래가게",""
"50865","ko","만포면옥","https://korean.visitseoul.net/attractions/ManpoMyeonjok/KOPvr2axw?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPvr2axw"," 서울 은평구 갈현동 463-1 ","03336 서울 은평구 연서로 171 (갈현동, 동연빌딩) ","02-389-3917","","","11:00~21:00","매일 ","","지하철 6호선 구산역 4번 출구, 260m","갈현동,오래가게,평양냉면,어복쟁반,불고기,평양,냉면,북한,은평,구산역,만두",""
"1399","ko","만해한용운 심우장","https://korean.visitseoul.net/attractions/만해한용운-심우장/KOP001399?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001399","136-824 서울 성북구 성북동 222-1 222-1","02879 서울 성북구 성북로29길 24 (만해 한용운 심우장) ","02-2241-2652","","https://www.sb.go.kr/tour/contents.do?key=136","09:00 - 18:00","","연중무휴","지하철 4호선 한성대입구역 6번 출구, 삼선교.성북문화원 정류장까지 약 62m  성북03 버스 탑승 후 슈퍼앞 정류장에서 하차, 127m","유적지, 한성대입구역,성북동, 한용운, 심우장, 만해한용운,역사유적",""
"43464","ko","맨투맨양복점","https://korean.visitseoul.net/attractions/2023058/KOPald1vp?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPald1vp"," 서울 영등포구 영등포동6가 95-9 ","07251 서울 영등포구 영등포로 181-2 (영등포동6가) ","02-2676-6680","","","09:00~22:00","매일","없음","지하철 5호선 영등포시장역 4번 출구,  551m","남성정장,양복제작,오래가게,영등포,맞춤양복,양장점",""
"43461","ko","명가떡집","https://korean.visitseoul.net/attractions/2023053/KOPi5js4s?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPi5js4s"," 서울 송파구 잠실동 210 ","05564 서울 송파구 석촌호수로12길 7 (잠실동) ","02-416-9669","","https://smartstore.naver.com/mgchal","매일 07:00 ~ 22:00 ","매일","없음","지하철 2호선 잠실새내역 3번 출구 ,  359m"," 잠실, 대왕찹쌀떡,오래가게, 잠실새마을시장,쑥인절미",""
"11469","ko","명동관광정보센터","https://korean.visitseoul.net/attractions/명동관광정보센터/KOP011469?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011469"," 서울 중구 을지로2가 181 외환은행 본점 별관 1층","04538 서울 중구 을지로 66 하나금융그룹 명동사옥 별관1층 ","02-778-0333","","https://www.instagram.com/ticmyeongdong/","명동관광정보센터 / 기념품판매관 - 09:00~18:00","","음력 설 및 추석 당일 휴관","지하철 2호선 을지로입구 5번 출구,  147m","관광정보센터,명동관광정보센터,안내,서울관광정보센터,관광정보,명동,을지로입구역","접근가능"
